resolver,zone,delay,result,query
resolver-unbound-1.16.0,10,0,90,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.16.0,11,0,99,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.16.0,12,0,108,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.16.0,13,0,117,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.16.0,14,0,126,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.16.0,15,0,135,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.16.0,16,0,144,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.16.0,17,0,153,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.16.0,18,0,162,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.16.0,19,0,171,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.16.0,2,0,18,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.16.0,20,0,181,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.16.0,3,0,27,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.16.0,4,0,36,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.16.0,5,0,45,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.16.0,6,0,54,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.16.0,7,0,63,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.16.0,8,0,72,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.16.0,9,0,83,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.10.0,1,0,9,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.10.0,10,0,90,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.10.0,11,0,99,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.10.0,12,0,108,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.10.0,13,0,117,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.10.0,14,0,126,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.10.0,15,0,135,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.10.0,16,0,144,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.10.0,17,0,156,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.10.0,18,0,163,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.10.0,19,0,171,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.10.0,2,0,18,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.10.0,20,0,180,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.10.0,3,0,27,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.10.0,4,0,36,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.10.0,5,0,45,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.10.0,6,0,54,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.10.0,7,0,63,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.10.0,8,0,72,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-unbound-1.10.0,9,0,81,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
